#tp_osd_tp,bstore_aio,bstore_kv_sync,bstore_kv_final,rocksdb:high,rocksdb:low,OpHistorySvc,log,bstore_mempool,safe_timer,admin_socket,ceph_timer,osd_srv_heartbt,ceph-osd,service,ms_dispatch,signal_handler,io_context_pool,fn_anonymous,cfin,ms_local,finisher,osd_srv_agent
439.80,39.90,29.90,28.20,5.30,10.00,3.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458.40,41.10,30.10,23.50,2.60,2.30,3.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429.90,37.70,30.10,22.80,5.00,0.00,2.60,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
439.40,39.50,30.20,24.90,3.00,0.00,3.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419.70,37.70,30.10,22.80,22.80,14.20,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
402.20,35.70,27.80,21.50,5.30,0.00,3.60,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
420.70,37.40,29.10,21.90,2.60,0.00,4.00,0.00,0.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425.80,38.20,30.20,22.90,5.60,14.00,4.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
397.60,36.10,28.80,21.90,3.00,12.30,4.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416.60,37.40,30.10,22.80,6.30,0.00,4.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
414.90,36.90,30.60,21.90,25.90,13.30,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
