#perf-crimson-ms,reactor
99.90,99.90
97.00,97.00
96.70,96.70
96.70,96.70
97.00,97.00
96.70,97.00
97.30,96.70
96.30,96.70
97.30,97.00
96.70,96.30
96.70,97.00
97.30,97.00
96.70,96.70
96.70,97.00
96.70,96.30
97.00,97.30
97.00,96.70
97.00,97.00
97.00,97.00
96.70,96.70
96.70,97.00
