#reactor,perf-crimson-ms
293.10,99.90
291.90,97.30
293.10,97.30
291.00,97.00
293.00,97.30
292.30,97.70
292.00,97.00
292.30,97.30
291.90,97.00
292.00,97.70
292.00,97.00
292.70,97.30
292.30,97.70
291.90,96.70
292.70,97.70
291.30,97.00
292.30,97.30
291.60,97.30
293.10,97.30
292.70,97.30
291.00,97.30
