#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.20,27.20,7.30,0.00,0.00,0.00,0.00,0.00
17.70,27.00,6.30,0.00,0.00,0.00,0.00,0.00
18.30,26.90,6.90,0.00,0.00,0.00,0.00,0.00
18.00,27.00,7.00,0.00,0.00,0.00,0.00,0.00
17.30,27.20,7.30,0.00,0.00,0.00,0.00,0.00
18.40,27.00,7.00,0.00,0.00,0.00,0.00,0.00
17.90,26.90,6.90,0.00,0.00,0.00,0.00,0.00
18.00,27.70,7.00,0.00,0.00,0.00,0.00,0.00
17.60,26.90,6.90,0.00,0.00,0.00,0.00,0.00
18.70,27.30,7.30,0.00,0.00,0.00,0.00,0.00
17.60,27.20,7.60,0.00,0.00,0.00,0.00,0.00
17.70,26.70,7.00,0.00,0.00,0.00,0.00,0.00
18.30,26.90,6.60,0.00,0.00,0.00,0.00,0.00
18.00,27.00,7.00,0.00,0.00,0.00,0.00,0.00
17.90,27.60,7.30,0.00,0.00,0.00,0.00,0.00
18.00,27.00,6.70,0.00,0.00,0.00,0.00,0.00
17.90,26.60,7.30,0.00,0.00,0.00,0.00,0.00
18.00,28.00,7.00,0.00,0.00,0.00,0.00,0.00
18.20,27.20,7.30,0.00,0.00,0.00,0.00,0.00
18.30,27.30,7.30,0.00,0.00,0.00,0.00,0.00
17.90,27.20,6.60,0.00,0.00,0.00,0.00,0.00
18.00,27.30,7.30,0.00,0.00,0.00,0.00,0.00
17.90,26.90,6.60,0.00,0.00,0.00,0.00,0.00
17.60,26.70,7.70,0.00,0.00,0.00,0.00,0.00
18.00,27.60,7.00,0.00,0.00,0.00,0.00,0.00
18.00,27.00,7.60,0.00,0.00,0.00,0.00,0.00
18.40,27.30,7.30,0.00,0.00,0.00,0.00,0.00
18.00,27.20,6.60,0.00,0.00,0.00,0.00,0.00
18.00,27.30,7.00,0.00,0.00,0.00,0.00,0.00
20.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00
29.60,41.20,11.90,0.00,0.00,0.00,0.00,0.00
29.70,41.00,11.30,0.00,0.00,0.00,0.00,0.00
29.90,41.20,11.30,0.00,0.00,0.00,0.00,0.00
29.70,40.70,11.60,0.00,0.00,0.00,0.00,0.00
29.60,41.50,11.30,0.00,0.00,0.00,0.00,0.00
29.00,41.30,11.00,0.00,0.00,0.00,0.00,0.00
29.20,41.50,10.60,0.00,0.00,0.00,0.00,0.00
29.00,43.30,11.30,0.00,0.00,0.00,0.00,0.00
29.40,42.00,11.00,0.00,0.00,0.00,0.00,0.00
29.20,41.90,11.30,0.00,0.00,0.00,0.00,0.00
29.40,42.30,11.00,0.00,0.00,0.00,0.00,0.00
29.60,40.90,12.20,0.00,0.00,0.00,0.00,0.00
29.70,41.70,11.60,0.00,0.00,0.00,0.00,0.00
30.00,40.90,11.00,0.00,0.00,0.00,0.00,0.00
30.30,41.70,11.30,0.00,0.00,0.00,0.00,0.00
28.90,40.90,11.30,0.00,0.00,0.00,0.00,0.00
30.00,41.00,11.30,0.00,0.00,0.00,0.00,0.00
29.60,41.50,11.30,0.00,0.00,0.00,0.00,0.00
30.00,40.70,11.60,0.00,0.00,0.00,0.00,0.00
29.90,41.90,11.00,0.00,0.00,0.00,0.00,0.00
30.00,41.00,11.70,0.00,0.00,0.00,0.00,0.00
30.30,41.90,11.30,0.00,0.00,0.00,0.00,0.00
29.40,41.00,11.00,0.00,0.00,0.00,0.00,0.00
