#perf-crimson-ms,reactor
99.90,99.90
98.70,99.00
97.70,97.00
97.70,97.70
98.00,97.70
97.00,97.70
98.00,97.70
97.70,97.00
97.30,97.70
97.70,97.70
97.70,97.30
97.70,97.70
97.70,97.30
98.00,98.00
97.30,97.30
97.30,97.30
98.00,97.70
97.70,97.30
97.70,97.70
97.70,97.70
97.30,97.70
97.70,97.30
97.70,97.30
