#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
53.00,53.00,18.70,0.00,0.00,0.00,0.00,0.00
52.10,52.80,18.90,0.00,0.00,0.00,0.00,0.00
53.30,53.70,18.00,0.00,0.00,0.00,0.00,0.00
52.20,52.50,18.50,0.00,0.00,0.00,0.00,0.00
52.30,52.30,18.60,0.00,0.00,0.00,0.00,0.00
53.10,53.50,18.90,0.00,0.00,0.00,0.00,0.00
52.60,52.70,19.00,0.00,0.00,0.00,0.00,0.00
53.20,53.80,19.20,0.00,0.00,0.00,0.00,0.00
52.60,52.70,19.00,0.00,0.00,0.00,0.00,0.00
52.80,52.80,18.60,0.00,0.00,0.00,0.00,0.00
53.00,53.00,19.00,0.00,0.00,0.00,0.00,0.00
51.20,52.50,18.60,0.00,0.00,0.00,0.00,0.00
53.00,53.00,18.30,0.00,0.00,0.00,0.00,0.00
52.10,52.50,18.90,0.00,0.00,0.00,0.00,0.00
52.60,53.30,19.00,0.00,0.00,0.00,0.00,0.00
52.10,52.50,18.60,0.00,0.00,0.00,0.00,0.00
51.70,52.30,20.30,0.00,0.00,0.00,0.00,0.00
52.80,53.20,18.90,0.00,0.00,0.00,0.00,0.00
52.00,52.30,18.60,0.00,0.00,0.00,0.00,0.00
52.80,52.80,18.90,0.00,0.00,0.00,0.00,0.00
52.00,52.70,18.70,0.00,0.00,0.00,0.00,0.00
52.10,52.80,18.30,0.00,0.00,0.00,0.00,0.00
53.30,46.70,20.00,0.00,0.00,0.00,0.00,0.00
66.10,58.80,22.90,0.00,0.00,0.00,0.00,0.00
64.60,57.30,23.70,0.00,0.00,0.00,0.00,0.00
65.20,57.80,22.90,0.00,0.00,0.00,0.00,0.00
65.40,58.30,23.00,0.00,0.00,0.00,0.00,0.00
65.10,58.10,22.60,0.00,0.00,0.00,0.00,0.00
65.40,57.70,23.30,0.00,0.00,0.00,0.00,0.00
63.80,57.10,23.90,0.00,0.00,0.00,0.00,0.00
65.40,58.00,23.30,0.00,0.00,0.00,0.00,0.00
64.80,57.50,23.20,0.00,0.00,0.00,0.00,0.00
65.40,58.00,22.70,0.00,0.00,0.00,0.00,0.00
64.40,57.80,22.60,0.00,0.00,0.00,0.00,0.00
65.00,57.70,22.70,0.00,0.00,0.00,0.00,0.00
65.50,58.10,22.90,0.00,0.00,0.00,0.00,0.00
64.60,57.70,23.40,0.00,0.00,0.00,0.00,0.00
64.80,57.80,22.30,0.00,0.00,0.00,0.00,0.00
64.60,58.00,23.00,0.00,0.00,0.00,0.00,0.00
64.40,57.10,22.20,0.00,0.00,0.00,0.00,0.00
64.70,57.70,25.00,0.00,0.00,0.00,0.00,0.00
64.40,57.50,22.60,0.00,0.00,0.00,0.00,0.00
64.80,58.10,22.60,0.00,0.00,0.00,0.00,0.00
65.00,57.70,23.00,0.00,0.00,0.00,0.00,0.00
65.50,58.50,22.90,0.00,0.00,0.00,0.00,0.00
65.40,58.00,23.00,0.00,0.00,0.00,0.00,0.00
64.50,57.80,23.20,0.00,0.00,0.00,0.00,0.00
65.00,58.30,22.70,0.00,0.00,0.00,0.00,0.00
64.80,57.10,22.60,0.00,0.00,0.00,0.00,0.00
65.70,58.30,23.00,0.00,0.00,0.00,0.00,0.00
64.10,57.10,22.30,0.00,0.00,0.00,0.00,0.00
64.00,56.30,24.00,0.00,0.00,0.00,0.00,0.00
60.00,46.70,26.70,0.00,0.00,0.00,0.00,0.00
68.30,56.30,23.30,0.00,0.00,0.00,0.00,0.00
58.40,54.50,26.50,0.00,0.00,0.00,0.00,0.00
68.30,56.30,23.60,0.00,0.00,0.00,0.00,0.00
66.80,55.80,22.90,0.00,0.00,0.00,0.00,0.00
67.70,56.30,23.60,0.00,0.00,0.00,0.00,0.00
67.20,54.80,22.90,0.00,0.00,0.00,0.00,0.00
67.40,56.00,25.00,0.00,0.00,0.00,0.00,0.00
68.10,56.50,23.30,0.00,0.00,0.00,0.00,0.00
67.70,56.00,22.70,0.00,0.00,0.00,0.00,0.00
68.10,56.10,23.90,0.00,0.00,0.00,0.00,0.00
67.70,56.30,23.30,0.00,0.00,0.00,0.00,0.00
67.80,56.10,22.90,0.00,0.00,0.00,0.00,0.00
67.70,55.70,23.60,0.00,0.00,0.00,0.00,0.00
67.50,55.80,23.20,0.00,0.00,0.00,0.00,0.00
67.70,55.70,23.30,0.00,0.00,0.00,0.00,0.00
66.40,55.10,23.60,0.00,0.00,0.00,0.00,0.00
68.00,56.30,23.60,0.00,0.00,0.00,0.00,0.00
67.50,55.50,23.90,0.00,0.00,0.00,0.00,0.00
67.00,55.30,23.60,0.00,0.00,0.00,0.00,0.00
67.20,56.10,23.30,0.00,0.00,0.00,0.00,0.00
68.00,55.30,24.00,0.00,0.00,0.00,0.00,0.00
67.80,56.80,23.30,0.00,0.00,0.00,0.00,0.00
67.40,55.70,23.60,0.00,0.00,0.00,0.00,0.00
67.80,55.80,23.20,0.00,0.00,0.00,0.00,0.00
68.00,56.00,23.30,0.00,0.00,0.00,0.00,0.00
67.50,55.50,23.20,0.00,0.00,0.00,0.00,0.00
68.00,56.70,23.30,0.00,0.00,0.00,0.00,0.00
67.80,55.80,23.20,0.00,0.00,0.00,0.00,0.00
66.00,54.70,24.60,0.00,0.00,0.00,0.00,0.00
62.40,43.80,18.80,0.00,0.00,0.00,0.00,0.00
68.30,54.30,24.00,0.00,0.00,0.00,0.00,0.00
66.80,53.50,24.90,0.00,0.00,0.00,0.00,0.00
68.60,54.70,24.30,0.00,0.00,0.00,0.00,0.00
67.80,53.80,23.90,0.00,0.00,0.00,0.00,0.00
68.30,54.00,23.70,0.00,0.00,0.00,0.00,0.00
68.10,53.80,24.60,0.00,0.00,0.00,0.00,0.00
66.30,52.70,24.30,0.00,0.00,0.00,0.00,0.00
68.10,53.80,24.60,0.00,0.00,0.00,0.00,0.00
67.40,54.00,24.00,0.00,0.00,0.00,0.00,0.00
67.80,54.20,24.20,0.00,0.00,0.00,0.00,0.00
67.00,53.70,23.60,0.00,0.00,0.00,0.00,0.00
66.80,53.20,23.90,0.00,0.00,0.00,0.00,0.00
68.30,53.70,23.30,0.00,0.00,0.00,0.00,0.00
67.80,53.80,24.50,0.00,0.00,0.00,0.00,0.00
68.30,54.30,24.60,0.00,0.00,0.00,0.00,0.00
67.20,53.50,23.60,0.00,0.00,0.00,0.00,0.00
66.60,53.30,25.30,0.00,0.00,0.00,0.00,0.00
