#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
48.60,48.00,17.30,0.00,0.00,0.00,0.00,0.00
47.80,46.50,16.60,0.00,0.00,0.00,0.00,0.00
48.00,48.00,16.60,0.00,0.00,0.00,0.00,0.00
47.80,46.80,16.90,0.00,0.00,0.00,0.00,0.00
47.70,47.00,16.60,0.00,0.00,0.00,0.00,0.00
47.70,47.30,16.60,0.00,0.00,0.00,0.00,0.00
47.80,46.80,16.30,0.00,0.00,0.00,0.00,0.00
48.30,47.70,19.00,0.00,0.00,0.00,0.00,0.00
47.90,46.50,16.90,0.00,0.00,0.00,0.00,0.00
47.70,47.30,16.70,0.00,0.00,0.00,0.00,0.00
48.90,47.50,16.60,0.00,0.00,0.00,0.00,0.00
47.30,47.00,16.70,0.00,0.00,0.00,0.00,0.00
48.20,47.20,17.00,0.00,0.00,0.00,0.00,0.00
48.30,47.30,16.30,0.00,0.00,0.00,0.00,0.00
48.60,47.80,17.20,0.00,0.00,0.00,0.00,0.00
47.40,46.70,16.00,0.00,0.00,0.00,0.00,0.00
47.80,46.50,16.90,0.00,0.00,0.00,0.00,0.00
48.60,48.00,17.30,0.00,0.00,0.00,0.00,0.00
48.20,47.50,16.30,0.00,0.00,0.00,0.00,0.00
48.30,47.30,17.00,0.00,0.00,0.00,0.00,0.00
48.60,47.80,16.90,0.00,0.00,0.00,0.00,0.00
48.00,47.70,17.00,0.00,0.00,0.00,0.00,0.00
33.30,33.30,20.00,0.00,0.00,0.00,0.00,0.00
57.00,51.70,20.60,0.00,0.00,0.00,0.00,0.00
56.40,51.20,20.20,0.00,0.00,0.00,0.00,0.00
57.70,52.00,20.00,0.00,0.00,0.00,0.00,0.00
55.80,50.20,20.60,0.00,0.00,0.00,0.00,0.00
57.40,51.70,20.00,0.00,0.00,0.00,0.00,0.00
57.20,51.20,20.00,0.00,0.00,0.00,0.00,0.00
57.00,51.30,20.30,0.00,0.00,0.00,0.00,0.00
58.40,52.50,20.50,0.00,0.00,0.00,0.00,0.00
57.00,51.30,20.00,0.00,0.00,0.00,0.00,0.00
57.80,51.80,19.90,0.00,0.00,0.00,0.00,0.00
57.00,51.00,20.00,0.00,0.00,0.00,0.00,0.00
57.70,51.70,21.30,0.00,0.00,0.00,0.00,0.00
57.20,51.50,19.60,0.00,0.00,0.00,0.00,0.00
56.60,51.00,20.00,0.00,0.00,0.00,0.00,0.00
58.10,52.20,20.30,0.00,0.00,0.00,0.00,0.00
56.60,51.30,20.00,0.00,0.00,0.00,0.00,0.00
56.40,51.20,19.90,0.00,0.00,0.00,0.00,0.00
57.70,51.70,20.30,0.00,0.00,0.00,0.00,0.00
56.10,51.50,19.90,0.00,0.00,0.00,0.00,0.00
57.70,51.30,20.30,0.00,0.00,0.00,0.00,0.00
56.80,51.20,19.90,0.00,0.00,0.00,0.00,0.00
58.00,52.30,20.60,0.00,0.00,0.00,0.00,0.00
55.80,50.50,19.60,0.00,0.00,0.00,0.00,0.00
57.00,51.30,20.00,0.00,0.00,0.00,0.00,0.00
58.10,52.20,20.30,0.00,0.00,0.00,0.00,0.00
56.60,51.00,20.00,0.00,0.00,0.00,0.00,0.00
56.60,51.30,21.60,0.00,0.00,0.00,0.00,0.00
57.80,51.80,19.60,0.00,0.00,0.00,0.00,0.00
57.00,51.00,19.70,0.00,0.00,0.00,0.00,0.00
60.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00
59.80,51.80,21.20,0.00,0.00,0.00,0.00,0.00
60.30,51.00,21.00,0.00,0.00,0.00,0.00,0.00
59.80,51.50,21.20,0.00,0.00,0.00,0.00,0.00
58.60,50.30,21.00,0.00,0.00,0.00,0.00,0.00
59.80,51.20,21.20,0.00,0.00,0.00,0.00,0.00
60.00,51.00,21.00,0.00,0.00,0.00,0.00,0.00
58.80,49.80,20.90,0.00,0.00,0.00,0.00,0.00
60.00,51.30,20.70,0.00,0.00,0.00,0.00,0.00
60.10,50.80,20.60,0.00,0.00,0.00,0.00,0.00
60.60,51.30,21.00,0.00,0.00,0.00,0.00,0.00
58.10,49.80,22.30,0.00,0.00,0.00,0.00,0.00
60.30,51.30,21.00,0.00,0.00,0.00,0.00,0.00
60.40,51.50,20.90,0.00,0.00,0.00,0.00,0.00
