#safe_timer,msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,taskfin_librbd
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
24.80,18.60,12.40,6.60,6.20,6.20,6.20,6.20
24.80,18.60,12.40,6.60,6.20,6.20,6.20,6.20
24.80,18.60,12.40,6.60,6.20,6.20,6.20,6.20
37.20,27.90,18.60,9.90,9.30,9.30,9.30,9.30
37.20,27.90,18.60,9.90,9.30,9.30,9.30,9.30
37.20,27.90,18.60,9.90,9.30,9.30,9.30,9.30
37.20,27.90,18.60,9.90,9.30,9.30,9.30,9.30
49.60,37.20,24.80,13.20,12.40,12.40,12.40,12.40
49.60,37.20,24.80,13.20,12.40,12.40,12.40,12.40
49.60,37.20,24.80,13.20,12.40,12.40,12.40,12.40
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
62.00,46.50,31.00,16.50,15.50,15.50,15.50,15.50
74.40,55.80,37.20,19.80,18.60,18.60,18.60,18.60
86.80,65.10,43.40,23.10,21.70,21.70,21.70,21.70
99.20,74.40,49.60,26.40,24.80,24.80,24.80,24.80
99.20,74.40,49.60,26.40,24.80,24.80,24.80,24.80
99.20,74.40,49.60,26.40,24.80,24.80,24.80,24.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
12.40,9.30,6.20,3.30,3.10,3.10,3.10,3.10
24.80,18.60,12.40,6.60,6.20,6.20,6.20,6.20
22.40,16.80,11.20,6.00,5.60,5.60,5.60,5.60
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
21.60,16.20,10.80,5.80,5.40,5.40,5.40,5.40
32.40,24.30,16.20,8.70,8.10,8.10,8.10,8.10
32.40,24.30,16.20,8.70,8.10,8.10,8.10,8.10
32.40,24.30,16.20,8.70,8.10,8.10,8.10,8.10
31.20,23.40,15.60,8.40,7.80,7.80,7.80,7.80
41.60,31.20,20.80,11.20,10.40,10.40,10.40,10.40
41.60,31.20,20.80,11.20,10.40,10.40,10.40,10.40
41.60,31.20,20.80,11.20,10.40,10.40,10.40,10.40
41.60,31.20,20.80,11.20,10.40,10.40,10.40,10.40
