#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
37.30,35.70,11.30,0.00,0.00,0.00,0.00,0.00
23.90,27.20,7.30,0.00,0.00,0.00,0.00,0.00
31.70,30.70,9.30,0.00,0.00,0.00,0.00,0.00
27.90,28.20,8.30,0.00,0.00,0.00,0.00,0.00
34.30,34.30,10.30,0.00,0.00,0.00,0.00,0.00
31.90,33.60,11.60,0.00,0.00,0.00,0.00,0.00
39.00,40.70,13.60,0.00,0.00,0.00,0.00,0.00
45.20,46.50,16.20,0.00,0.00,0.00,0.00,0.00
43.40,44.30,14.30,0.00,0.00,0.00,0.00,0.00
43.90,44.50,15.30,0.00,0.00,0.00,0.00,0.00
43.00,45.00,15.00,0.00,0.00,0.00,0.00,0.00
45.50,46.50,15.60,0.00,0.00,0.00,0.00,0.00
43.00,44.70,15.60,0.00,0.00,0.00,0.00,0.00
44.20,45.20,15.00,0.00,0.00,0.00,0.00,0.00
41.70,43.70,14.60,0.00,0.00,0.00,0.00,0.00
43.70,45.00,14.70,0.00,0.00,0.00,0.00,0.00
45.20,45.20,15.30,0.00,0.00,0.00,0.00,0.00
47.00,45.00,14.90,0.00,0.00,0.00,0.00,0.00
42.60,43.90,14.30,0.00,0.00,0.00,0.00,0.00
44.30,46.00,15.30,0.00,0.00,0.00,0.00,0.00
40.20,42.20,14.90,0.00,0.00,0.00,0.00,0.00
39.40,41.70,13.30,0.00,0.00,0.00,0.00,0.00
40.00,33.30,6.70,0.00,0.00,0.00,0.00,0.00
34.20,31.90,10.60,0.00,0.00,0.00,0.00,0.00
34.60,32.70,10.70,0.00,0.00,0.00,0.00,0.00
34.20,31.60,11.90,0.00,0.00,0.00,0.00,0.00
35.00,33.00,11.00,0.00,0.00,0.00,0.00,0.00
34.20,32.20,10.60,0.00,0.00,0.00,0.00,0.00
35.00,32.70,11.00,0.00,0.00,0.00,0.00,0.00
34.90,32.20,10.60,0.00,0.00,0.00,0.00,0.00
34.70,32.70,10.70,0.00,0.00,0.00,0.00,0.00
34.20,32.20,12.30,0.00,0.00,0.00,0.00,0.00
35.40,32.70,11.00,0.00,0.00,0.00,0.00,0.00
34.60,32.90,11.00,0.00,0.00,0.00,0.00,0.00
34.60,32.70,11.00,0.00,0.00,0.00,0.00,0.00
34.60,32.60,11.00,0.00,0.00,0.00,0.00,0.00
35.40,32.30,11.00,0.00,0.00,0.00,0.00,0.00
34.30,32.30,10.70,0.00,0.00,0.00,0.00,0.00
34.20,32.60,10.60,0.00,0.00,0.00,0.00,0.00
35.00,32.70,11.00,0.00,0.00,0.00,0.00,0.00
34.90,32.20,11.00,0.00,0.00,0.00,0.00,0.00
34.70,32.70,10.30,0.00,0.00,0.00,0.00,0.00
34.20,31.90,12.30,0.00,0.00,0.00,0.00,0.00
34.00,32.30,11.00,0.00,0.00,0.00,0.00,0.00
