#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
59.10,52.80,17.90,0.00,0.00,0.00,0.00,0.00
61.00,53.00,18.60,0.00,0.00,0.00,0.00,0.00
59.80,52.80,19.90,0.00,0.00,0.00,0.00,0.00
60.30,53.00,18.30,0.00,0.00,0.00,0.00,0.00
60.20,53.20,18.60,0.00,0.00,0.00,0.00,0.00
61.70,54.00,19.00,0.00,0.00,0.00,0.00,0.00
60.50,53.20,18.60,0.00,0.00,0.00,0.00,0.00
61.30,54.00,19.00,0.00,0.00,0.00,0.00,0.00
59.80,53.20,18.60,0.00,0.00,0.00,0.00,0.00
60.70,53.70,18.60,0.00,0.00,0.00,0.00,0.00
60.50,53.50,18.60,0.00,0.00,0.00,0.00,0.00
60.30,52.70,18.30,0.00,0.00,0.00,0.00,0.00
60.80,53.80,18.90,0.00,0.00,0.00,0.00,0.00
61.00,53.30,18.30,0.00,0.00,0.00,0.00,0.00
60.10,53.20,19.30,0.00,0.00,0.00,0.00,0.00
60.30,53.00,19.30,0.00,0.00,0.00,0.00,0.00
60.50,53.50,18.30,0.00,0.00,0.00,0.00,0.00
60.70,53.70,19.30,0.00,0.00,0.00,0.00,0.00
60.80,53.50,18.60,0.00,0.00,0.00,0.00,0.00
60.40,53.70,18.30,0.00,0.00,0.00,0.00,0.00
59.80,52.80,18.20,0.00,0.00,0.00,0.00,0.00
60.40,53.70,18.30,0.00,0.00,0.00,0.00,0.00
53.30,53.30,20.00,0.00,0.00,0.00,0.00,0.00
65.70,57.70,23.60,0.00,0.00,0.00,0.00,0.00
63.80,56.80,23.20,0.00,0.00,0.00,0.00,0.00
65.70,58.30,23.00,0.00,0.00,0.00,0.00,0.00
64.40,57.10,22.90,0.00,0.00,0.00,0.00,0.00
65.40,58.30,23.60,0.00,0.00,0.00,0.00,0.00
64.40,57.10,22.60,0.00,0.00,0.00,0.00,0.00
64.60,57.00,23.00,0.00,0.00,0.00,0.00,0.00
62.10,55.50,23.60,0.00,0.00,0.00,0.00,0.00
65.00,57.70,23.40,0.00,0.00,0.00,0.00,0.00
65.50,57.80,22.90,0.00,0.00,0.00,0.00,0.00
65.00,57.70,23.30,0.00,0.00,0.00,0.00,0.00
65.50,57.80,22.90,0.00,0.00,0.00,0.00,0.00
65.70,58.00,24.00,0.00,0.00,0.00,0.00,0.00
65.20,57.50,22.90,0.00,0.00,0.00,0.00,0.00
66.00,58.00,23.60,0.00,0.00,0.00,0.00,0.00
64.80,57.10,22.90,0.00,0.00,0.00,0.00,0.00
65.00,57.70,23.00,0.00,0.00,0.00,0.00,0.00
65.20,57.80,23.20,0.00,0.00,0.00,0.00,0.00
64.30,56.70,24.00,0.00,0.00,0.00,0.00,0.00
64.80,57.50,23.20,0.00,0.00,0.00,0.00,0.00
64.60,57.70,22.70,0.00,0.00,0.00,0.00,0.00
65.80,58.10,23.90,0.00,0.00,0.00,0.00,0.00
64.60,57.30,23.30,0.00,0.00,0.00,0.00,0.00
64.40,57.50,22.90,0.00,0.00,0.00,0.00,0.00
65.40,58.00,23.00,0.00,0.00,0.00,0.00,0.00
64.80,57.50,23.60,0.00,0.00,0.00,0.00,0.00
65.00,57.70,22.70,0.00,0.00,0.00,0.00,0.00
64.80,57.50,23.20,0.00,0.00,0.00,0.00,0.00
64.70,57.30,22.70,0.00,0.00,0.00,0.00,0.00
53.40,46.70,26.70,0.00,0.00,0.00,0.00,0.00
66.80,55.50,23.90,0.00,0.00,0.00,0.00,0.00
65.20,54.50,23.60,0.00,0.00,0.00,0.00,0.00
68.30,56.70,24.30,0.00,0.00,0.00,0.00,0.00
67.20,55.80,23.60,0.00,0.00,0.00,0.00,0.00
67.70,56.00,24.70,0.00,0.00,0.00,0.00,0.00
66.40,55.50,23.60,0.00,0.00,0.00,0.00,0.00
66.60,55.00,23.60,0.00,0.00,0.00,0.00,0.00
67.20,55.80,25.20,0.00,0.00,0.00,0.00,0.00
66.60,55.30,24.00,0.00,0.00,0.00,0.00,0.00
67.20,55.80,23.90,0.00,0.00,0.00,0.00,0.00
67.40,56.00,24.00,0.00,0.00,0.00,0.00,0.00
67.20,55.80,23.90,0.00,0.00,0.00,0.00,0.00
67.40,56.30,24.30,0.00,0.00,0.00,0.00,0.00
66.80,55.50,23.30,0.00,0.00,0.00,0.00,0.00
67.70,56.00,24.00,0.00,0.00,0.00,0.00,0.00
67.20,55.80,24.00,0.00,0.00,0.00,0.00,0.00
67.00,56.00,23.70,0.00,0.00,0.00,0.00,0.00
67.20,55.80,24.20,0.00,0.00,0.00,0.00,0.00
66.30,55.30,25.00,0.00,0.00,0.00,0.00,0.00
67.50,56.10,24.20,0.00,0.00,0.00,0.00,0.00
66.60,55.70,23.60,0.00,0.00,0.00,0.00,0.00
68.40,56.10,23.90,0.00,0.00,0.00,0.00,0.00
67.40,56.00,24.00,0.00,0.00,0.00,0.00,0.00
67.20,55.50,23.90,0.00,0.00,0.00,0.00,0.00
67.40,56.00,24.30,0.00,0.00,0.00,0.00,0.00
67.50,56.10,23.60,0.00,0.00,0.00,0.00,0.00
67.40,56.00,23.60,0.00,0.00,0.00,0.00,0.00
67.20,55.80,23.90,0.00,0.00,0.00,0.00,0.00
67.00,56.00,24.00,0.00,0.00,0.00,0.00,0.00
46.70,46.70,13.30,0.00,0.00,0.00,0.00,0.00
67.20,53.20,24.50,0.00,0.00,0.00,0.00,0.00
65.00,52.70,24.70,0.00,0.00,0.00,0.00,0.00
58.40,54.80,29.50,0.00,0.00,0.00,0.00,0.00
60.00,55.00,28.30,0.00,0.00,0.00,0.00,0.00
67.50,53.50,24.20,0.00,0.00,0.00,0.00,0.00
67.40,53.70,24.00,0.00,0.00,0.00,0.00,0.00
65.80,52.20,25.60,0.00,0.00,0.00,0.00,0.00
68.00,54.00,24.30,0.00,0.00,0.00,0.00,0.00
66.80,53.50,24.20,0.00,0.00,0.00,0.00,0.00
67.00,53.30,23.70,0.00,0.00,0.00,0.00,0.00
67.20,52.80,24.20,0.00,0.00,0.00,0.00,0.00
66.60,53.70,24.00,0.00,0.00,0.00,0.00,0.00
66.80,53.20,24.60,0.00,0.00,0.00,0.00,0.00
67.40,54.00,24.60,0.00,0.00,0.00,0.00,0.00
68.40,53.50,24.30,0.00,0.00,0.00,0.00,0.00
66.60,52.70,24.00,0.00,0.00,0.00,0.00,0.00
66.80,52.80,24.90,0.00,0.00,0.00,0.00,0.00
66.60,53.70,24.70,0.00,0.00,0.00,0.00,0.00
67.20,52.80,23.90,0.00,0.00,0.00,0.00,0.00
67.40,54.30,24.00,0.00,0.00,0.00,0.00,0.00
66.40,52.50,24.30,0.00,0.00,0.00,0.00,0.00
67.40,53.70,24.00,0.00,0.00,0.00,0.00,0.00
