#reactor,perf-crimson-ms
2897.10,99.90
3067.80,99.00
3020.20,97.00
3020.20,97.30
3029.50,97.70
3017.40,97.30
3030.40,97.70
3020.20,97.30
3029.40,97.70
3018.30,97.30
3032.90,97.70
3015.70,97.00
3020.90,97.70
3030.90,97.30
3016.70,97.70
3031.00,97.70
3018.70,97.00
3029.30,98.00
3017.70,97.00
3031.20,97.70
3017.40,97.30
3033.90,97.70
3015.80,97.30
