#reactor,perf-crimson-ms
74.90,0.70
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
88.80,0.80
