#reactor,perf-crimson-ms
5421.90,99.90
5342.00,97.30
5323.20,97.00
5340.60,97.70
5341.30,97.30
5338.70,97.30
5337.60,97.70
5338.40,97.70
5338.90,97.70
5340.60,97.30
5340.80,97.70
5341.90,97.30
5342.10,97.70
5338.70,97.70
5342.50,97.30
5321.20,97.00
5338.30,98.00
5339.10,97.70
5341.50,97.30
5340.50,98.00
5338.60,97.30
